track,gate,status,evidence,blocker,next_action
"Barcode","CA/TA/RA official mapping corrected","passed","Official mapping applied: CA/CC=Col1a1/cCARLIN; TA/TC=Tigre; RA/RC=Rosa.","none","Use corrected mapping in all future barcode reports."
"Barcode","Meiji TA mapped to Tigre","passed","Brain_E1_all_TA group label TA maps to historical TC/Tigre.","none","Treat Brain_E1_all_TA as Tigre candidate."
"Barcode","Meiji RA mapped to Rosa","passed","Brain_E1_all_RA group label RA maps to historical RC/Rosa/Rosa26.","none","Treat Brain_E1_all_RA as Rosa candidate."
"Barcode","exact official Tigre/Rosa template names","blocked","Official template options found: Tigre, Tigre_2022, Tigre_2022_v2, Rosa, Rosa_v2.","Exact long/short template variant for TA and RA is not confirmed.","Ask provider/lab for exact template values."
"Barcode","cfg_type values","blocked","Official cfg candidates include BulkDNA/BulkRNA Tigre and Rosa variants.","Exact DNA/RNA and UMI-length config values are not confirmed.","Ask provider/lab for exact cfg_type values."
"Barcode","staging/naming safety","blocked","DARLIN-01B created descriptive mapping to raw_fastq/{sample}_R1/R2.fastq.gz.","No staging root or symlink permission approved; no symlinks created.","Approve non-/ssd staging root after config confirmation."
"Barcode","dry-run dependency environment","blocked","darlin-repro env likely has Snakemake/PEAR/FastQC/MultiQC; MATLAB policy unresolved.","Current PATH lacks Snakemake/MATLAB/FastQC/MultiQC and snakefile may perform template-copy side effects.","Confirm env, MATLAB/toolboxes, and dry-run side-effect policy."
"ST","mixed ST sample label accepted","passed","Sample label is Sailu_0313_19A_mixed_ST with tissue_status=mixed_unresolved.","none","Use this label only; do not call it Brain_E1_ST."
"ST","E FASTQ found","passed","Eight E PE100 FASTQ files found across Lane01-Lane04 R1/R2.","none","Use as expression read candidates for future smoke planning."
"ST","BC raw FASTQ or called barcode table found","partial","No BC FASTQ found; BC SalusCallFile/ListTable.csv and RunInfo.xml found.","Need confirm whether ListTable.csv is a called spatial barcode/coordinate artifact usable for processing.","Ask provider/user for Salus BC table semantics or ST parser."
"ST","coordinate/spatial structure found","partial","BC RunInfo has RowMax=14 and ColumnMax=130; ListTable.csv has two rows and 1821 columns.","No confirmed M0-ready coordinate table yet.","Confirm coordinate construction from BC artifacts."
"ST","raw ST processing implementation found","blocked","Targeted search found M0 processed-data scripts and planning docs, but no confirmed Sailu/Salus raw ST FASTQ-to-matrix entrypoint.","Raw ST processing contract is missing.","Provide Sailu/Salus raw ST script or vendor contract."
"ST","M0-compatible matrix/coordinate ready","blocked","No mixed ST expression matrix, coordinate table, spot metadata, gene metadata, or h5ad exists.","Raw processing has not run and output contract is missing.","Generate only after raw ST smoke contract is confirmed."
