path	category	include_in_commit	reason	file_size_bytes	data_or_code	downstream_or_backbone_relevance
.gitignore	ignore policy	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1262	other	backbone-relevant
AGENTS.md	other	no	not part of explicit M0-M2.5 freeze allow-list	1163	documentation	outside freeze allow-list
README.md	documentation pointer	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	5506	documentation	backbone-relevant
configs/darlin/darlin_e1_first_round_route_manifest.yaml	config template	no	downstream-only or out of M0-M2.5 scope	1817	config_or_json	downstream-only
configs/darlin/darlin_manual_sample_relationship_table.csv	config template	no	downstream-only or out of M0-M2.5 scope	2250	config_or_json	downstream-only
configs/darlin/darlin_onboarding_manifest.yaml	config template	no	downstream-only or out of M0-M2.5 scope	2337	config_or_json	downstream-only
configs/darlin/meiji_e1_ra_ta_01c_protocol_resolved_staging_plan.yaml	config template	no	downstream-only or out of M0-M2.5 scope	3282	config_or_json	downstream-only
configs/darlin/meiji_e1_ra_ta_01c_staging_dryrun_plan.yaml	config template	no	downstream-only or out of M0-M2.5 scope	2374	config_or_json	downstream-only
configs/darlin/meiji_e1_ra_ta_barcode_sample_sheet_draft.csv	config template	no	downstream-only or out of M0-M2.5 scope	954	config_or_json	downstream-only
configs/darlin/meiji_e1_ra_ta_candidate_configs_plan.yaml	config template	no	downstream-only or out of M0-M2.5 scope	2412	config_or_json	downstream-only
configs/darlin/meiji_e1_ra_ta_staging_plan.yaml	config template	no	downstream-only or out of M0-M2.5 scope	2473	config_or_json	downstream-only
configs/darlin/sailu_0313_19a_mixed_st_manifest.yaml	config template	no	downstream-only or out of M0-M2.5 scope	1354	config_or_json	downstream-only
configs/darlin/sailu_e1_st_sample_sheet_draft.csv	config template	no	downstream-only or out of M0-M2.5 scope	1881	config_or_json	downstream-only
configs/k_gpcca_pilot.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	2230	config_or_json	outside freeze allow-list
configs/k_gpcca_revision.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	3229	config_or_json	outside freeze allow-list
configs/m0_merfish_colitis.yaml	config template	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	2297	config_or_json	backbone-relevant
configs/m0_merfish_colitis_home.yaml	config template	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	2296	config_or_json	backbone-relevant
configs/m1_niche_construction.yaml	config template	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	1235	config_or_json	backbone-relevant
configs/m2_niche_representation.yaml	config template	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	2365	config_or_json	backbone-relevant
configs/m3_transition_kernel.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	3832	config_or_json	outside freeze allow-list
configs/m3_v2_full_production.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	2066	config_or_json	outside freeze allow-list
configs/m3_v2_pilot.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	1607	config_or_json	outside freeze allow-list
configs/m4a_markov_assembly.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	1206	config_or_json	outside freeze allow-list
configs/m4a_v2_assembly.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	2218	config_or_json	outside freeze allow-list
configs/m4b_markov_terminal_design.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	1926	config_or_json	outside freeze allow-list
configs/m4c_fate_probability.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	1259	config_or_json	outside freeze allow-list
configs/m4c_v2_fate_propagation.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	2670	config_or_json	outside freeze allow-list
configs/m4d_markov_macrostate_visualization.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	3779	config_or_json	outside freeze allow-list
configs/planA_k/full_kmix_A.draft.yaml	config template	no	downstream-only or out of M0-M2.5 scope	1467	config_or_json	downstream-only
configs/planA_k/full_m2_5_feature_lock.draft.json	config template	yes	backbone-relevant M0-M2.5 source/config/test/doc/report	22233	config_or_json	backbone-relevant
configs/reproducibility/reviewpack_01_module_manifest.yaml	config template	no	not part of explicit M0-M2.5 freeze allow-list	8357	config_or_json	outside freeze allow-list
docs/darlin/darlin_00_data_inventory.md	documentation	no	downstream-only or out of M0-M2.5 scope	8014	documentation	downstream-only
docs/darlin/darlin_00c_data_relationship_resolution.md	documentation	no	downstream-only or out of M0-M2.5 scope	1811	documentation	downstream-only
docs/darlin/darlin_00c_first_development_route_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1056	documentation	downstream-only
docs/darlin/darlin_00d_provider_confirmed_e1_route.md	documentation	no	downstream-only or out of M0-M2.5 scope	2364	documentation	downstream-only
docs/darlin/darlin_00d_sailu_document_audit.md	documentation	no	downstream-only or out of M0-M2.5 scope	2969	documentation	downstream-only
docs/darlin/darlin_00d_updated_first_round_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	2408	documentation	downstream-only
docs/darlin/darlin_01a_bc_spatial_barcode_audit.md	documentation	no	downstream-only or out of M0-M2.5 scope	8070	documentation	downstream-only
docs/darlin/darlin_01a_bc_st_split_feasibility.md	documentation	no	downstream-only or out of M0-M2.5 scope	3008	documentation	downstream-only
docs/darlin/darlin_01a_e1_integration_matching_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	1564	documentation	downstream-only
docs/darlin/darlin_01a_official_darlin_dryrun_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1964	documentation	downstream-only
docs/darlin/darlin_01a_sailu_e1_st_processing_plan.md	documentation	no	downstream-only or out of M0-M2.5 scope	1699	documentation	downstream-only
docs/darlin/darlin_01b_cfg_type_template_review.md	documentation	no	downstream-only or out of M0-M2.5 scope	2542	documentation	downstream-only
docs/darlin/darlin_01b_dependency_resolution.md	documentation	no	downstream-only or out of M0-M2.5 scope	2007	documentation	downstream-only
docs/darlin/darlin_01b_next_step_recommendation.md	documentation	no	downstream-only or out of M0-M2.5 scope	1302	documentation	downstream-only
docs/darlin/darlin_01b_official_config_contract.md	documentation	no	downstream-only or out of M0-M2.5 scope	4908	documentation	downstream-only
