path,category,module,stage_or_branch,size_bytes,mtime_utc,include_in_git,commit_group,reason
AGENTS.md,documentation,AGENTS,,1163,2026-05-08T05:56:55.351305Z,true,configs_tests,Agent/project instruction document.
configs/k_gpcca_pilot.yaml,config,k_gpcca_pilot,k_gpcca,2230,2026-05-08T11:02:33.156453Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/k_gpcca_revision.yaml,config,k_gpcca_revision,k_gpcca,3229,2026-05-08T12:27:28.953314Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m0_merfish_colitis.yaml,config,m0_merfish_colitis,m0,2297,2026-04-30T08:43:28.771028Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m0_merfish_colitis_home.yaml,config,m0_merfish_colitis_home,m0,2296,2026-04-30T14:36:59.367383Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m1_niche_construction.yaml,config,m1_niche_construction,m1,1235,2026-05-01T02:20:35.364364Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m2_niche_representation.yaml,config,m2_niche_representation,m2,2365,2026-05-03T01:59:30.547734Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m3_transition_kernel.yaml,config,m3_transition_kernel,m3,3832,2026-05-03T04:09:12.682393Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m3_v2_full_production.yaml,config,m3_v2_full_production,m3,2066,2026-05-08T06:55:19.210382Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m3_v2_pilot.yaml,config,m3_v2_pilot,m3,1607,2026-05-08T02:52:40.489676Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4a_markov_assembly.yaml,config,m4a_markov_assembly,m4a,1206,2026-05-04T07:26:40.315508Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4a_v2_assembly.yaml,config,m4a_v2_assembly,m4a,2218,2026-05-08T08:33:11.644366Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4b_markov_terminal_design.yaml,config,m4b_markov_terminal_design,m4b,1926,2026-05-04T07:58:05.949867Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4c_fate_probability.yaml,config,m4c_fate_probability,m4c,1259,2026-05-04T08:23:04.478224Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4c_v2_fate_propagation.yaml,config,m4c_v2_fate_propagation,m4c,2670,2026-05-08T10:07:17.624770Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/m4d_markov_macrostate_visualization.yaml,config,m4d_markov_macrostate_visualization,m4d,3779,2026-05-07T07:11:50.068688Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
configs/reproducibility/reviewpack_01_module_manifest.yaml,config,reviewpack_01_module_manifest,,8357,2026-05-08T13:59:38.167860Z,true,configs_tests,Pipeline configuration; small text file with no secret blockers.
docs/environment_and_dependencies.md,documentation,environment_and_dependencies,,2202,2026-05-08T13:58:42.501776Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/git_initialization_plan.md,documentation,git_initialization_plan,,1767,2026-05-08T14:06:01.488746Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/github_packaging_plan.md,documentation,github_packaging_plan,,2871,2026-05-08T13:58:42.501776Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/installation.md,documentation,installation,,1965,2026-05-08T14:06:01.488746Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/m0_design.md,documentation,m0_design,m0,1904,2026-04-30T03:12:06.662749Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/pipeline_module_index.md,documentation,pipeline_module_index,,4947,2026-05-08T13:58:42.501776Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/project_status_checkpoint.md,documentation,project_status_checkpoint,,3534,2026-05-08T13:58:42.501776Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/quickstart.md,documentation,quickstart,,2744,2026-05-08T14:06:01.488746Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/reproducibility_guide.md,documentation,reproducibility_guide,,4820,2026-05-08T13:58:42.501776Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/server_layout.md,documentation,server_layout,,1281,2026-04-30T03:06:49.967395Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
docs/storage_policy.md,documentation,storage_policy,storage,1367,2026-05-07T01:41:16.083632Z,false,excluded,Already tracked and unchanged from prior ReviewPack; not restaged.
environment.yml,config,environment,,471,2026-04-30T03:01:42.175226Z,true,configs_tests,Historical/compatibility environment file; not the sole official environment.
envs/nichefate-core.yml,config,nichefate-core,,331,2026-05-08T14:06:01.487746Z,false,excluded,Recommended ReviewPack draft environment already tracked unchanged; not restaged.
envs/nichefate-dev.yml,config,nichefate-dev,,281,2026-05-08T14:06:01.487746Z,false,excluded,Recommended ReviewPack draft environment already tracked unchanged; not restaged.
envs/nichefate-gpcca.yml,config,nichefate-gpcca,,452,2026-05-08T14:06:01.487746Z,false,excluded,Recommended ReviewPack draft environment already tracked unchanged; not restaged.
pyproject.toml,config,pyproject,,655,2026-05-09T02:30:59.572227Z,true,configs_tests,Package metadata and future packaging basis.
requirements.txt,config,requirements,,265,2026-04-30T03:01:42.175226Z,true,configs_tests,Historical/compatibility dependency file; not a locked reproducibility file.
scripts/__pycache__/k_gpcca_00_design.cpython-310.pyc,generated_cache,k_gpcca_00_design.cpython-310,k_gpcca,35522,2026-05-08T10:54:19.614926Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/k_gpcca_01_pilot_kernel_preflight.cpython-310.pyc,generated_cache,k_gpcca_01_pilot_kernel_preflight.cpython-310,k_gpcca,33753,2026-05-08T11:04:52.288929Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/k_gpcca_02_construct_and_run_pilot.cpython-310.pyc,generated_cache,k_gpcca_02_construct_and_run_pilot.cpython-310,k_gpcca,38941,2026-05-08T11:43:57.144858Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/k_gpcca_03_biological_benchmark.cpython-310.pyc,generated_cache,k_gpcca_03_biological_benchmark.cpython-310,k_gpcca,35361,2026-05-08T12:19:47.926563Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/k_gpcca_04_kernel_revision_pilot.cpython-310.pyc,generated_cache,k_gpcca_04_kernel_revision_pilot.cpython-310,k_gpcca,31062,2026-05-08T13:45:20.707050Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_00_check_environment.cpython-310.pyc,generated_cache,m0_00_check_environment.cpython-310,m0,3329,2026-05-03T05:23:27.778860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_00_download_core_dryad_files.cpython-310.pyc,generated_cache,m0_00_download_core_dryad_files.cpython-310,m0,3224,2026-05-03T05:23:27.779860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_00b_verify_raw_files.cpython-310.pyc,generated_cache,m0_00b_verify_raw_files.cpython-310,m0,5674,2026-05-03T05:23:27.777860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_01_inspect_raw_anndata.cpython-310.pyc,generated_cache,m0_01_inspect_raw_anndata.cpython-310,m0,6138,2026-05-03T05:23:27.780860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_02_build_m0_anndata.cpython-310.pyc,generated_cache,m0_02_build_m0_anndata.cpython-310,m0,6288,2026-05-03T05:23:27.781860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_03_compute_embeddings.cpython-310.pyc,generated_cache,m0_03_compute_embeddings.cpython-310,m0,2050,2026-05-03T05:23:27.781860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_04_build_spatial_graphs.cpython-310.pyc,generated_cache,m0_04_build_spatial_graphs.cpython-310,m0,5424,2026-05-03T05:23:27.782860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_05_export_m0_objects.cpython-310.pyc,generated_cache,m0_05_export_m0_objects.cpython-310,m0,1562,2026-05-03T05:23:27.782860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m0_06_make_qc_report.cpython-310.pyc,generated_cache,m0_06_make_qc_report.cpython-310,m0,9746,2026-05-03T05:23:27.784860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m1_00_inspect_m0_for_niche.cpython-310.pyc,generated_cache,m1_00_inspect_m0_for_niche.cpython-310,m1,4712,2026-05-03T05:23:27.785860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m1_01_build_niche_prototype.cpython-310.pyc,generated_cache,m1_01_build_niche_prototype.cpython-310,m1,7511,2026-05-03T05:23:27.786860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m1_02_review_niche_prototype.cpython-310.pyc,generated_cache,m1_02_review_niche_prototype.cpython-310,m1,25241,2026-05-03T05:23:27.789860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m1_03_build_niche_full.cpython-310.pyc,generated_cache,m1_03_build_niche_full.cpython-310,m1,13400,2026-05-03T05:23:27.792860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
scripts/__pycache__/m1_03a_prepare_global_schema.cpython-310.pyc,generated_cache,m1_03a_prepare_global_schema.cpython-310,m1,8498,2026-05-03T05:23:27.790860Z,false,excluded,"Generated, ignored, or heavy artifact; excluded from Git."
