data_category,modality,inferred_subset,file_count,total_size_bytes,representative_paths,first_round_relevance
DARLIN barcode raw reads,DARLIN barcode / clone evidence,Brain_031319A_E1_RA_TA_MeiJi,4,17517321975,/data/zhutao/nichefate_data/MeiJi/Brain_E1_all_RA.R1.raw.fastq.gz | /data/zhutao/nichefate_data/MeiJi/Brain_E1_all_RA.R2.raw.fastq.gz | /data/zhutao/nichefate_data/MeiJi/Brain_E1_all_TA.R1.raw.fastq.gz,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
DARLIN barcode raw reads,DARLIN barcode / clone evidence,HSC_MPP_darlin_test_or_legacy_run,4,47700559,/data/zhutao/darlin_data/raw_fastq/HSC_R1.fastq.gz | /data/zhutao/darlin_data/raw_fastq/HSC_R2.fastq.gz | /data/zhutao/darlin_data/raw_fastq/MPP_R1.fastq.gz,useful_pipeline_smoke_context_not_matched_nichefate_subset
archives,compressed archive,Brain_031319A_E1_RA_TA_MeiJi,1,103603,/data/zhutao/nichefate_data/MeiJi/others/SJ2026050600660_charts.zip,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
archives,compressed archive,GSE222246_public_camellia_metadata,1,6133760,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222246_RAW.tar,public_reference_metadata_not_first_local_onboarding_subset
logs,QC/report artifact,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,1762,1108934721,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_Report.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/report/R001C001.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/report/R001C002.html,high_candidate_but_requires_sample_sheet_and_locus_confirmation
logs,QC/report artifact,Brain_031319A_E1_RA_TA_MeiJi,1,621535,/data/zhutao/nichefate_data/MeiJi/others/report.pdf,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
logs,QC/report artifact,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,1762,888321637,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_Report.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/report/R001C001.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/report/R001C002.html,candidate_matched_ST_expression_but_sample_split_unconfirmed
logs,QC/report artifact,Salus_spatial_BC_delivery_031319A,94,33938611,/data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C026.html | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C028.html | /data/zhutao/nichefate_data/202603131741_Pro019_A_SE30_1_0313_19A_BC/Res/Lane02/report/R001C035.html,deferred_or_context
metadata / sample sheet,compressed GEO metadata,GSE222246_public_camellia_metadata,1,3409,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222246_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,compressed GEO metadata,GSE222479_public_bulk_carlin_metadata,1,14000,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222479_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,compressed GEO metadata,GSE222486_public_darlin_scRNA_metadata,1,79066,/home/zhutao/projects/darlin_cell_repro/data/geo/GSE222486_family.soft.gz,public_reference_metadata_not_first_local_onboarding_subset
metadata / sample sheet,documentation/report,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,12,418907929,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_cycleHeatmap.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_heatmap.html | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_imgHeatmap.html,high_candidate_but_requires_sample_sheet_and_locus_confirmation
metadata / sample sheet,documentation/report,Brain_031319A_E1_RA_TA_MeiJi,1,2404349,/data/zhutao/nichefate_data/MeiJi/others/原始数据校验方法.pdf,candidate_barcode_reads_but_missing_confirmed_matched_ST_bridge
metadata / sample sheet,documentation/report,Brain_031319A_E1_or_Pancreas_E2_ST_shared_PE100_100,12,241170946,/data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_cycleHeatmap.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_heatmap.html | /data/zhutao/nichefate_data/202604271751_2211180001_B_1_ZHY_XBB_E_PE100_100/Res/Lane01/Lane01_ZHY_XBB_E_PE100_100_imgHeatmap.html,candidate_matched_ST_expression_but_sample_split_unconfirmed
metadata / sample sheet,metadata,Brain_031319A_B1_CA_TA_RA_shared_PE100_250,8,256,/data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R1.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane01/Lane01_ZHY_XBB_R_PE100_250_R2.fastq.gz.md5 | /data/zhutao/nichefate_data/202604271754_C2302270016_A_1_ZHY_XBB_R_PE100_250/Res/Lane02/Lane02_ZHY_XBB_R_PE100_250_R1.fastq.gz.md5,high_candidate_but_requires_sample_sheet_and_locus_confirmation
